antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
High_Income,"Low_Spending, Senior",0.5,0.40122199592668023,0.38289205702647655,0.7657841140529531,1.9086294416243654,1.0,0.18228105906313644,2.556521739130434,0.9521276595744681,0.7387033398821217,0.608843537414966,0.8600494174325679
"Low_Spending, Senior",High_Income,0.40122199592668023,0.5,0.38289205702647655,0.9543147208121827,1.9086294416243654,1.0,0.18228105906313644,10.944444444444438,0.7950589810392242,0.7387033398821217,0.9086294416243654,0.8600494174325679
Low_Income,"High_Spending, Young",0.5,0.3910386965376782,0.3655804480651731,0.7311608961303462,1.8697916666666665,1.0,0.170061099796334,2.2651515151515147,0.9303621169916434,0.695736434108527,0.5585284280936454,0.8330283647318397
"High_Spending, Young",Low_Income,0.3910386965376782,0.5,0.3655804480651731,0.9348958333333333,1.8697916666666665,1.0,0.170061099796334,7.679999999999991,0.7638926412088577,0.695736434108527,0.8697916666666665,0.8330283647318397
"Low_Spending, High_Income",Senior,0.4175152749490835,0.4908350305498982,0.38289205702647655,0.9170731707317072,1.8683938872583745,1.0,0.177960934291794,6.139930513957105,0.797928135694093,0.7286821705426356,0.837131707317073,0.8485780791417872
Senior,"Low_Spending, High_Income",0.4908350305498982,0.4175152749490835,0.38289205702647655,0.7800829875518671,1.8683938872583743,1.0,0.177960934291794,2.648656957306996,0.9128297872340423,0.7286821705426356,0.6224501639439397,0.8485780791417872
Young,"Low_Income, High_Spending",0.5091649694501018,0.3981670061099796,0.3655804480651731,0.718,1.8032634271099743,1.0,0.16284775656314682,2.1341595528014907,0.9075347611507298,0.6748120300751879,0.5314314720812182,0.818079283887468
"Low_Income, High_Spending",Young,0.3981670061099796,0.5091649694501018,0.3655804480651731,0.918158567774936,1.8032634271099743,1.0,0.16284775656314682,5.997390529531563,0.7401552535950114,0.6748120300751879,0.8332608165041226,0.818079283887468
Senior,High_Income,0.4908350305498982,0.5,0.439918533604888,0.896265560165975,1.79253112033195,1.0,0.19450101832993888,4.819999999999997,0.8683425925925926,0.798521256931608,0.7925311203319501,0.8880513136878755
High_Income,Senior,0.5,0.4908350305498982,0.439918533604888,0.879837067209776,1.79253112033195,1.0,0.19450101832993888,4.23728813559322,0.8842592592592592,0.798521256931608,0.7639999999999999,0.8880513136878755
Young,Low_Income,0.5091649694501018,0.5,0.44908350305498984,0.8820000000000001,1.7640000000000002,1.0,0.19450101832993894,4.237288135593224,0.8823872564240082,0.801818181818182,0.7640000000000002,0.8900835030549898
Low_Income,Young,0.5,0.5091649694501018,0.44908350305498984,0.8981670061099797,1.7640000000000002,1.0,0.19450101832993894,4.820000000000003,0.8662131519274378,0.801818181818182,0.7925311203319503,0.8900835030549898
"Low_Income, Young",High_Spending,0.44908350305498984,0.48065173116089616,0.3655804480651731,0.8140589569160996,1.693656558668665,1.0,0.14972768488599264,2.7930803238785926,0.7434185120920196,0.6480144404332129,0.6419723444933527,0.7873260886275413
High_Spending,"Low_Income, Young",0.48065173116089616,0.44908350305498984,0.3655804480651731,0.7605932203389829,1.6936565586686647,1.0,0.14972768488599264,2.301173332372077,0.7886066961603583,0.6480144404332129,0.5654390801716842,0.7873260886275413
"Senior, High_Income",Low_Spending,0.439918533604888,0.5193482688391039,0.38289205702647655,0.8703703703703703,1.6758896151053013,1.0,0.15442112816854084,3.707884783241198,0.7200773694390714,0.6643109540636042,0.7303044569993722,0.8038126361655773
Low_Spending,"Senior, High_Income",0.5193482688391039,0.439918533604888,0.38289205702647655,0.7372549019607842,1.6758896151053013,1.0,0.15442112816854084,2.1316533422500528,0.8390732059141723,0.6643109540636042,0.530880570409982,0.8038126361655773
Low_Income,High_Spending,0.5,0.48065173116089616,0.3981670061099796,0.7963340122199593,1.656779661016949,1.0,0.15784114052953155,2.5499999999999994,0.7928388746803068,0.6835664335664334,0.607843137254902,0.8123619213642168
High_Spending,Low_Income,0.48065173116089616,0.5,0.3981670061099796,0.8283898305084745,1.656779661016949,1.0,0.15784114052953155,2.9135802469135785,0.7633017401333936,0.6835664335664334,0.656779661016949,0.8123619213642168
High_Income,Low_Spending,0.5,0.5193482688391039,0.4175152749490835,0.835030549898167,1.607843137254902,1.0,0.15784114052953158,2.9135802469135808,0.7560975609756098,0.6937394247038919,0.6567796610169492,0.819476059262809
Low_Spending,High_Income,0.5193482688391039,0.5,0.4175152749490835,0.803921568627451,1.607843137254902,1.0,0.15784114052953158,2.5500000000000003,0.7865336916081026,0.6937394247038919,0.607843137254902,0.819476059262809
High_Spending,Young,0.48065173116089616,0.5091649694501018,0.3910386965376782,0.8135593220338982,1.5978305084745763,1.0,0.14630767252500196,2.6326606184039987,0.7204248366013073,0.653061224489796,0.6201561291230043,0.7907796610169491
Young,High_Spending,0.5091649694501018,0.48065173116089616,0.3910386965376782,0.768,1.5978305084745763,1.0,0.14630767252500196,2.238570124306482,0.7622752420470262,0.653061224489796,0.5532862745098039,0.7907796610169491
Senior,Low_Spending,0.4908350305498982,0.5193482688391039,0.40122199592668023,0.8174273858921162,1.5739484175412903,1.0,0.14630767252500193,2.6326606184039987,0.7161827411167512,0.6588628762541806,0.6201561291230043,0.7949882027499796
Low_Spending,Senior,0.5193482688391039,0.4908350305498982,0.40122199592668023,0.7725490196078431,1.5739484175412901,1.0,0.14630767252500193,2.2385701243064813,0.7586681579626601,0.6588628762541806,0.5532862745098037,0.7949882027499796
